address,zip_code,price,date,rooms,m2,built,m2_price
Ingolfs Allé  34,2300,10250000.0,17-05-2024,7,192,1960,53385.416666666664
Ingolfs Allé  21,2300,9155000.0,25-01-2024,7,125,1910,73240.0
Ingolfs Allé  19,2300,11500000.0,22-10-2020,6,183,1911,62841.530054644805
Ingolfs Allé  41,2300,6850000.0,21-09-2020,4,162,1960,42283.950617283954
Ingolfs Allé  37,2300,9650000.0,11-05-2020,6,200,1905,48250.0
Ingolfs Allé  48,2300,5800000.0,02-06-2019,5,172,1936,33720.93023255814
Ingolfs Allé  45,2300,8350000.0,22-05-2018,8,176,1924,47443.181818181816
Ingolfs Allé  26,2300,7700000.0,22-08-2016,8,209,1909,36842.10526315789
Ingolfs Allé  17,2300,7350000.0,07-10-2015,3,170,1904,43235.294117647056
Ingolfs Allé  42,2300,4600000.0,01-02-2015,4,111,1954,41441.44144144144
Ingolfs Allé  29,2300,4575000.0,23-06-2014,7,174,1911,26293.103448275862
Ingolfs Allé  55,2300,4495000.0,29-09-2010,6,153,1931,29379.08496732026
Ingolfs Allé  11,2300,4050000.0,11-05-2009,5,128,1912,31640.625
Ingolfs Allé  15,2300,1650000.0,14-11-2007,8,168,1904,9821.42857142857
Ingolfs Allé  23,2300,3250000.0,31-03-2005,5,163,1911,19938.650306748466
Ingolfs Allé  47,2300,2800000.0,12-04-2003,7,141,1924,19858.156028368794
Ingolfs Allé  43,2300,1368765.0,03-12-1996,6,150,1925,9125.1
Ingolfs Allé  14,2300,1437000.0,13-04-1996,7,169,1905,8502.958579881657
Ingolfs Allé  31,2300,803298.0,07-11-1994,6,137,1909,5863.489051094891
Ingolfs Allé  18,2300,1031400.0,12-08-1993,7,168,1910,6139.285714285715
Ingolfs Allé  51,2300,815000.0,26-07-1993,4,119,1930,6848.73949579832
Breidablik Allé  13,2300,9900000.0,15-09-2024,4,144,1930,68750.0
Breidablik Allé  6,2300,10000000.0,17-12-2023,4,173,1928,57803.46820809248
Breidablik Allé  11,2300,6500000.0,16-03-2021,6,152,1936,42763.15789473684
Breidablik Allé  4,2300,11000000.0,23-03-2018,8,213,1927,51643.19248826291
Breidablik Allé  10,2300,7550000.0,13-11-2017,6,173,1934,43641.61849710983
Breidablik Allé  7,2300,4500000.0,29-04-2012,6,163,1923,27607.361963190186
Breidablik Allé  15,2300,2950000.0,02-03-2010,4,100,1930,29500.0
Breidablik Allé  3,2300,1576479.0,02-07-1996,7,179,1928,8807.145251396649
Breidablik Allé  9,2300,1281080.0,29-06-1996,5,140,1934,9150.57142857143
Heklas Allé  9,2300,16050000.0,08-08-2023,9,264,1906,60795.454545454544
Heklas Allé  11,2300,5695000.0,11-11-2020,3,78,1906,73012.82051282052
Heklas Allé  12,2300,6500000.0,12-05-2016,6,154,1905,42207.792207792205
Heklas Allé  3,2300,2450000.0,24-08-2010,6,222,1904,11036.036036036036
Heklas Allé  5,2300,3690794.0,27-05-2002,7,203,1909,18181.251231527094
Geysers Allé  6,2300,9800000.0,21-03-2024,5,191,1905,51308.90052356021
Geysers Allé  8,2300,7500000.0,09-02-2020,5,132,1914,56818.181818181816
Geysers Allé  12,2300,4670000.0,19-06-2013,5,149,1910,31342.28187919463
Geysers Allé  7,2300,1050000.0,01-07-2002,5,156,1909,6730.7692307692305
Thingvalla Allé  33,2300,13800000.0,05-03-2024,5,149,1925,92617.44966442953
Thingvalla Allé  10,2300,7800000.0,31-10-2022,4,143,1904,54545.454545454544
Thingvalla Allé  20,2300,7400000.0,19-02-2019,5,157,1904,47133.75796178344
Thingvalla Allé  34,2300,6500000.0,23-09-2018,7,189,1977,34391.53439153439
Thingvalla Allé  26,2300,9150000.0,13-09-2018,7,179,1906,51117.31843575419
Thingvalla Allé  41,2300,7575000.0,16-04-2018,7,129,1925,58720.93023255814
Thingvalla Allé  24,2300,5400000.0,08-01-2015,6,148,1911,36486.48648648649
Thingvalla Allé  16,2300,8400000.0,25-09-2013,9,296,1907,28378.37837837838
